excel_id,req_id,priority,module,title,status,automation_case,notes
1,F03_UC004,P1,主页,查看酷我主页显示,AUTOMATED,tests/kuwo/test_kuwo_smoke.py::test_launch_kuwo_home,???????????Tab????
2,F03_UC004,P2,主页,酷我主页点击搜索按钮,AUTOMATED,tests/kuwo/test_kuwo_smoke.py::test_kuwo_search_page_readonly,????????????
3,F03_UC004,P2,主页,酷我主页点击设置按钮,AUTOMATED,tests/kuwo/test_kuwo_smoke.py::test_kuwo_settings_page_readonly,??????????????
4,F03_UC004,P2,主页,酷我主页点击酷我icon,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_home_logo_module_switcher_readonly,已点击首页酷我 logo 区域并验证媒体模块切换弹层选项，返回首页。
5,F03_UC004,P1,主页,酷我主页点击推荐,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_home_visible_tabs_readonly,首页 Tab 选中态、内容列表和业务内容非空已强断言。
6,F03_UC004,P1,主页,酷我主页点击会员专区,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_home_visible_tabs_readonly,首页 Tab 选中态、内容列表和业务内容非空已强断言。
7,F03_UC004,P1,主页,酷我主页点击热点,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_home_visible_tabs_readonly,首页 Tab 选中态、内容列表和业务内容非空已强断言。
8,F03_UC004,P1,主页,酷我主页点击电台,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_home_visible_tabs_readonly,首页 Tab 选中态、内容列表和业务内容非空已强断言。
9,F03_UC004,P1,主页,酷我主页点击曲库,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_home_visible_tabs_readonly,首页 Tab 选中态、内容列表和业务内容非空已强断言。
10,F03_UC004,P1,主页,酷我主页点击我的,AUTOMATED,tests/kuwo/test_kuwo_home.py::test_kuwo_home_visible_tabs_readonly,首页 Tab 选中态、内容列表和业务内容非空已强断言。
